Ticker,Name,Data_Points,Annualized_Return,Annualized_Vol,Sharpe_Ratio,Sortino_Ratio,Calmar_Ratio,VaR_95_Daily,VaR_99_Daily,CVaR_95_Daily,CVaR_99_Daily,Skewness,Kurtosis,Max_Drawdown,Max_DD_Duration_Days,Extreme_Down_Days,Extreme_Up_Days,Best_Day,Worst_Day,Positive_Day_Pct
GS,Goldman Sachs,2512,0.24605867525222871,0.2956473842891677,0.8322707668929108,1.1652103378850143,0.5047483915759922,-0.025875381616044267,-0.04491889735748372,-0.04146355910571212,-0.07132550923960299,0.23232813877837566,9.9667483345166,-0.4874877847236953,704,20,23,0.17580307307151832,-0.12705310566382622,0.5214968152866242
MS,Morgan Stanley,2512,0.28070726728352896,0.31648273097488594,0.886959191798064,1.240899369451013,0.546912259108531,-0.028003812879102037,-0.050671489174980745,-0.04375732462505692,-0.07337659324821225,0.40731556686246695,12.604513881976972,-0.5132583199745473,567,28,34,0.19769998107361575,-0.1559996399979029,0.5254777070063694
JPM,JPMorgan Chase,2512,0.2325765650126057,0.275151929974607,0.8452659773604696,1.1365327215411463,0.5331082886319608,-0.024974390446315834,-0.044642198186044216,-0.039440084105586845,-0.06613570905801353,0.3288397038089358,13.966381906636013,-0.4362651453224138,538,17,22,0.18012482320454382,-0.14964885037821496,0.5254777070063694
C,Citigroup,2512,0.19028894635816296,0.33252215851330025,0.5722594464349111,0.7635762707168243,0.33674945235982545,-0.028513426487012827,-0.054577926325309195,-0.04705179396059778,-0.08433718066106616,-0.055767492899080354,12.504820558325084,-0.5650757411027185,866,33,38,0.17984278930177577,-0.19298592147842342,0.5159235668789809
BAC,Bank of America,2512,0.21125756915788305,0.31038729643665647,0.6806256943605173,0.9401640395902832,0.43160648447660194,-0.028251368117377232,-0.05285282514792656,-0.044092491876953424,-0.07426777414555123,0.2196753704025524,10.512118913515042,-0.48946801486096686,692,29,33,0.17796184360036693,-0.15397345561051867,0.5155254777070064
DB,Deutsche Bank,2512,0.19480990391325828,0.4065373173441387,0.47919316530627215,0.6835271373349365,0.2706847696772152,-0.037325805434047114,-0.07057730144870968,-0.05741283475168466,-0.0928277270229631,0.06306827016733868,4.846926275390064,-0.7196928890589751,1776,56,70,0.1402440326449581,-0.17488778096398716,0.5075636942675159
UBS,UBS Group,2512,0.19278593791216048,0.30465708150278065,0.6327965099685394,0.8559331903700104,0.3140674848578081,-0.027278440941764476,-0.05103638051964868,-0.043735228298983714,-0.0745234424796352,-0.1779677576816681,7.879538462005698,-0.6138360295381834,947,27,35,0.1341772267222392,-0.15656007804274685,0.5115445859872612
HSBC,HSBC Holdings,2512,0.18735044143921276,0.25206252419938585,0.7432697186314586,0.9821123223962682,0.3009155009957491,-0.023516901973526978,-0.04633648279736491,-0.03785752104729368,-0.0626642154341195,-0.15082914713660392,5.771018136565095,-0.6226014971620202,1502,21,17,0.1036806208380825,-0.10246344862583012,0.5262738853503185
BCS,Barclays,2512,0.20468011883724704,0.37818713108645663,0.5412138648114272,0.6941119527587645,0.30972746350858416,-0.03398362187226676,-0.06070061350300562,-0.05459061770326108,-0.10002452796561014,-0.5649518534252645,12.158271483454671,-0.6608394248241222,886,47,57,0.18825554870536232,-0.21851849990608863,0.5071656050955414
VIX,CBOE Volatility Index,2512,0.8155156265465591,1.3633447149509963,0.5981727274131633,1.2552447607587374,0.9520681420145153,-0.10214224760447214,-0.1665480878638497,-0.1420248247357048,-0.20554730113013125,2.645677073523807,21.418834780156086,-0.856572749951469,1477,522,488,1.1559792516603906,-0.35753873962348437,0.4482484076433121
VXN,CBOE NASDAQ Volatility,2512,0.5196255068458937,1.0597331577974227,0.490336178520541,0.9707365445017364,0.6258326137651168,-0.08742000364732687,-0.1333909924997101,-0.1179365251122011,-0.15894797647960318,1.6260419715749002,8.383302656662025,-0.8302947072696278,1477,425,441,0.5982575363813367,-0.23573641820463698,0.45820063694267515
